produto;categoria;usuario;data_comentario;recomendacao;resumo;descricao
Smartphone Samsung Galaxy A5 SM-A520 32GB;"celular-e-smartphonesamsung
";e-bit;02/07/2017;Recomendo este produto;Excelente produto, mas pofe melhorar;"Equipamento prático, rápido atende a maioria das necessidades de usuários  comuns. (Internet, Após, voz, jogos).
Pontos que podem ser melhorados  é  estabilização  da câmera e duração  da Bateria. Ainda vem com Andróide  6.0 espero que estes pontos melhorem quando houve  atualização  para a versão  7"
Smartphone Samsung Galaxy A5 SM-A520 32GB;"celular-e-smartphonesamsung
";e-bit;19/06/2017;Recomendo este produto;Bom  equipament, mas pode melhorar;Este foi meu primeiro Sansung. Usava antes moto G. A bateria só  dura em torno de 17 h após  desconectar o carregador. Espero  que quando atualizar o so para androide 7 , melhore.
Smartphone Samsung Galaxy A5 SM-A520 32GB;"celular-e-smartphonesamsung
";e-bit;18/06/2017;Recomendo este produto;Excelente compra;Um dos melhores celulares que a Samsung produziu
Smartphone Samsung Galaxy A5 SM-A520 32GB;"celular-e-smartphonesamsung
";e-bit;16/06/2017;Recomendo este produto;Amo;Era tudo o que eu esperava!
Smartphone Samsung Galaxy A5 SM-A520 32GB;"celular-e-smartphonesamsung
";e-bit;16/06/2017;Recomendo este produto;Estou amando!;Era o que eu esperava, Maravilhoso!
Smartphone Samsung Galaxy A5 SM-A520 32GB;"celular-e-smartphonesamsung
";e-bit;08/06/2017;Recomendo este produto;produto muito bom, pena que  a bateria não dura mais que um dia,;ja tinha produto  dessa marca, a hei ele bem mais completo e fácil de acessar.
Smartphone Samsung Galaxy A5 SM-A520 32GB;"celular-e-smartphonesamsung
";e-bit;06/06/2017;Recomendo este produto;Produto muito bom;"Indicado por um amigo adquiri e gostei, Compara-se aos Smartphones top do mercado;"
Smartphone Samsung Galaxy A5 SM-A520 32GB;"celular-e-smartphonesamsung
";e-bit;05/06/2017;Recomendo este produto;Muito bom;A pessoa presenteada adorou
Smartphone Samsung Galaxy A5 SM-A520 32GB;"celular-e-smartphonesamsung
";e-bit;30/05/2017;Recomendo este produto;Superou minhas expectativas;Muito rápido nas funções e aplicativo, fotos muito boas e ótima durabilidade da bateria.
Smartphone Samsung Galaxy A5 SM-A520 32GB;"celular-e-smartphonesamsung
";e-bit;30/05/2017;Recomendo este produto;Bom aparelho;"Há duas dificuldades neste aparelho:
1- NÃO permite uma digitação rápida porque se não ficar atento ao auto preenchimento, vc escreve uma palavra é ele manda outra completamente diferente.
2- No escuro a barra de comandos na base,  fica invisível, sem iluminação. Achei este o ponto mais fraco."
Smartphone Samsung Galaxy A5 SM-A520 32GB;"celular-e-smartphonesamsung
";e-bit;30/05/2017;Recomendo este produto;Bom produto.;Bom produto, recomendo.
Smartphone Samsung Galaxy A5 SM-A520 32GB;"celular-e-smartphonesamsung
";e-bit;25/05/2017;Recomendo este produto;Perfeito;O A5 2017 é o celular perfeito para o meu uso,  pois acesso redes sociais,  páginas da web,  email,  troco mensagens, fotos,  etc com muita facilidade e rapidez.
Smartphone Samsung Galaxy A5 SM-A520 32GB;"celular-e-smartphonesamsung
";e-bit;24/04/2017;Recomendo este produto;Celular design inovador e camera perfeita;Excelente celular com design inovador ótima camera  especificações técnicas surpreendentes perfeito para todo tipo de pessoa que deseja qualidade e agilidade perfeito para todas as situações como jogos, vídeos, apps e muito mais.
Smartphone Samsung Galaxy A5 SM-A520 32GB;"celular-e-smartphonesamsung
";e-bit;23/04/2017;Recomendo este produto;Muito bom;Por enquanto estou gostando de tudo, não compraria outro celular nessa faixa de preço
Smartphone Samsung Galaxy A5 SM-A520 32GB;"celular-e-smartphonesamsung
";e-bit;06/08/2017;Recomendo este produto;Excelente celular;Apesar de caro é uma ótima opção.
Smartphone Samsung Galaxy A5 SM-A520 32GB;"celular-e-smartphonesamsung
";e-bit;23/07/2017;Recomendo este produto;Bom;Por enquanto está bom
Smartphone Samsung Galaxy A5 SM-A520 32GB;"celular-e-smartphonesamsung
";e-bit;12/07/2017;Recomendo este produto;Celular excelente!!;A melhor!!
Smartphone Samsung Galaxy A7 SM-A720 32GB;"celular-e-smartphonesamsung
";e-bit;02/08/2017;Recomendo este produto;Maravilhoso;Eu não uso esse produto. Comprei para dar de presente.
Smartphone Samsung Galaxy A7 SM-A720 32GB;"celular-e-smartphonesamsung
";Marcelo Kenji Izukawa;24/07/2017;Recomendo este produto;Vale a pena;"Até agora, estou adorando o celular. Você sente como se fosse um aparelho top de linha, como a linha S da Samsung, mas com um preço mais em conta. 
Se ele durar mais de 2 anos sem problemas, terá sido uma ótima compra."
Smartphone Samsung Galaxy A7 SM-A720 32GB;"celular-e-smartphonesamsung
";e-bit;26/06/2017;Recomendo este produto;Otima opçao;Adorei o celular, lindo e cumpre com td que promete
Smartphone Samsung Galaxy A7 SM-A720 32GB;"celular-e-smartphonesamsung
";e-bit;20/06/2017;Recomendo este produto;Aparelho perfeito;Aparelho muito bom, tela AMOLED muito linda
Smartphone Samsung Galaxy A7 SM-A720 32GB;"celular-e-smartphonesamsung
";e-bit;04/06/2017;Recomendo este produto;Otimo produto;Otimo produto
Smartphone Samsung Galaxy A7 SM-A720 32GB;"celular-e-smartphonesamsung
";e-bit;04/06/2017;Recomendo este produto;Excelente;Excelente celular. Desempenho e características que o tornam perfeito relacionado ao seu custo benefício.
Smartphone Samsung Galaxy A7 SM-A720 32GB;"celular-e-smartphonesamsung
";e-bit;04/06/2017;Recomendo este produto;MUITO BOM ESTE SANSUMG;NOTA MÁXIMA
Smartphone Samsung Galaxy A7 SM-A720 32GB;"celular-e-smartphonesamsung
";e-bit;24/05/2017;Recomendo este produto;Custo beneficio baixo;Bom produto. É caro para o custo benefício
Smartphone Samsung Galaxy A7 SM-A720 32GB;"celular-e-smartphonesamsung
";e-bit;30/04/2017;Recomendo este produto;Elogios;É tudo de bom
Smartphone Samsung Galaxy A7 SM-A720 32GB;"celular-e-smartphonesamsung
";e-bit;29/04/2017;Recomendo este produto;Excelente Aparelho;O aparelho em si é excelente, o único contra que eu tenho é em relação a bateria, que como todo aparelho não aguenta um dia inteiro de uso, esse não é diferente, além disso a bateria não é removível, e isso pode ser um problema com o uso do aparelho todos os dias.
Smartphone Samsung Galaxy A7 SM-A720 32GB;"celular-e-smartphonesamsung
";e-bit;22/03/2017;Recomendo este produto;Muito bom. Pra mim, o melhor dual chip atualmente;Pra mim, o melhor dual chip atualmente
Smartphone Samsung Galaxy A7 SM-A720 32GB;"celular-e-smartphonesamsung
";e-bit;19/09/2017;Recomendo este produto;Bom;Muito bom.ja comprei mais um de presente
Smartphone Samsung Galaxy A7 SM-A720 32GB;"celular-e-smartphonesamsung
";e-bit;18/09/2017;Recomendo este produto;Muito bom;Muito bom adorei o produto vo compra um pra minha namorada de bom q é
Smartphone Samsung Galaxy A7 SM-A720 32GB;"celular-e-smartphonesamsung
";e-bit;17/09/2017;Recomendo este produto;o melhor da familia A;melhor custo beneficio
Smartphone Samsung Galaxy A7 SM-A720 32GB;"celular-e-smartphonesamsung
";e-bit;11/09/2017;Recomendo este produto;Bom custo-benefício;Bom aparelho.
Smartphone Samsung Galaxy A7 SM-A720 32GB;"celular-e-smartphonesamsung
";e-bit;10/09/2017;Recomendo este produto;Um bom produto.;Apenas um mês com o produto,mas  se percebe que é muito bom .
Smartphone Samsung Galaxy A7 SM-A720 32GB;"celular-e-smartphonesamsung
";e-bit;01/09/2017;Recomendo este produto;bom;ok
Smartphone Samsung Galaxy A7 SM-A720 32GB;"celular-e-smartphonesamsung
";e-bit;30/08/2017;Recomendo este produto;Cumpre com as funções técnicas;Produto muito bom, excelente para fotos, videos e musica.
Smartphone Samsung Galaxy A7 SM-A720 32GB;"celular-e-smartphonesamsung
";e-bit;22/08/2017;Recomendo este produto;Perfeito;Estou muito satisfeito
Smartphone Samsung Galaxy A7 SM-A720 32GB;"celular-e-smartphonesamsung
";e-bit;22/08/2017;Recomendo este produto;Excelente;Estou muito satisfeito
Smartphone Samsung Galaxy A7 SM-A720 32GB;"celular-e-smartphonesamsung
";e-bit;14/08/2017;Recomendo este produto;Otimo;Bateria dura o dia todo
Smartphone Samsung Galaxy A7 SM-A720 32GB;"celular-e-smartphonesamsung
";e-bit;13/08/2017;Recomendo este produto;ótimo smartphone;"É o meu segundo Samsung, não troco por nada.
Excelente custo benefício."
Smartphone Samsung Galaxy A7 SM-A720 32GB;"celular-e-smartphonesamsung
";e-bit;13/08/2017;Recomendo este produto;PRODUTO DE QUALIDADE!;O CELULAR A5 DA SAMSUNG É MARAVILHOSO. CAMERAS DE QUALIDADE.OTIMAS FUNCOES.
Smartphone Samsung Galaxy A7 SM-A720 32GB;"celular-e-smartphonesamsung
";e-bit;11/08/2017;Recomendo este produto;Custo x beneficio = otimo;Muito bom
Smartphone Samsung Galaxy A7 SM-A720 32GB;"celular-e-smartphonesamsung
";e-bit;26/07/2017;Recomendo este produto;Bom aparelho;Produto bom fácil de usar durabilidade da bateria Boa só poderia ser mais memória
Smartphone Samsung Galaxy A7 SM-A720 32GB;"celular-e-smartphonesamsung
";e-bit;26/07/2017;Recomendo este produto;melhor custo benefício;celular mto bom, e ótimo para tudo, pois a memória ajuda e processador idem.
Smartphone Samsung Galaxy A7 SM-A720 32GB;"celular-e-smartphonesamsung
";e-bit;24/07/2017;Recomendo este produto;Bom aparelho;vale  a pena
Smartphone Samsung Galaxy A7 SM-A720 32GB;"celular-e-smartphonesamsung
";e-bit;19/06/2017;Recomendo este produto;Exelente;Perfeito do jeito que esperava
Smartphone Samsung Galaxy A7 SM-A720 32GB;"celular-e-smartphonesamsung
";e-bit;19/06/2017;Recomendo este produto;Otimo;muito boa
Smartphone Samsung Galaxy A7 SM-A720 32GB;"celular-e-smartphonesamsung
";e-bit;19/06/2017;Recomendo este produto;Bom celular;Gostei. Porém acho qua câmera poderia ser melhor. Muitas fotos ficam desfocadas. O preço tb ainda é alto. Mas no geral vale ter esse celular
Smartphone Samsung Galaxy A7 SM-A720 32GB;"celular-e-smartphonesamsung
";e-bit;02/06/2017;Recomendo este produto;Marca Samsung é insubstituível;Há 5 anos compro Smartphones Samsung e são os melhores
Smartphone Samsung Galaxy A7 SM-A720 32GB;"celular-e-smartphonesamsung
";e-bit;01/06/2017;Recomendo este produto;Boa aquisição;Surpreendeu-me a presença do Pacote Office no celular, genial!
Smartphone Samsung Galaxy A7 SM-A720 32GB;"celular-e-smartphonesamsung
";e-bit;23/04/2017;Recomendo este produto;Excelente produto,  me surpreendeu!!;Perfeito em quase todos os pontos, pra ser insuperável,  só aumentando a memória RAM.
Smartphone Samsung Galaxy A7 SM-A720 32GB;"celular-e-smartphonesamsung
";e-bit;20/04/2017;Recomendo este produto;Excelente;Ótimo produto e estou satisfeito com ele.
Smartphone Samsung Galaxy A7 SM-A720 32GB;"celular-e-smartphonesamsung
";e-bit;08/08/2017;Recomendo este produto;Este celular é muito bom;Comprei há um mês, pelo que percebi até agora, o celular tem diversas funcionalidades, comigo a bateria tem durado o dia todo, mas não uso ininterruptamente, além disso a tela é grande e para mim isso faz toda a diferença. Eu super recomendo!!!!
Smartphone Samsung Galaxy A7 SM-A720 32GB;"celular-e-smartphonesamsung
";e-bit;01/08/2017;Recomendo este produto;Estou amando meu A7 2017;ótimo smartphone, não trava, bateria de longa duração, câmera excelente.
Smartphone Samsung Galaxy A7 SM-A720 32GB;"celular-e-smartphonesamsung
";e-bit;07/08/2017;Recomendo este produto;Excelente;"Muito Top - Câmera perfeita - O Uso do Produto muito bom não trava.
Estou muito Satisfeita -"
Smartphone Samsung Galaxy J5 SM-J500M;"celular-e-smartphonesamsung
";Fernando Ribeiro;07/12/2015;Recomendo este produto;Ótimo celular custo-benefício;"O J5 é quase igual a E5, mas possui algumas particularidades: camera frontal com flash, bateria removível e android 5.1.1. Dos prós possui uma ótima câmera tanto traseira quanto frontal, ótima memória interna, Dual Band 4G, visor de 5polegadas Amoled e é bem rápido. Dos contra notei falta de uma luz de led que indica estado da bateria, mensagens e ligações perdidas, coisa que na série S é bem útil. É muito ruim ter que ficar consultando o celular toda hora para saber se tem mensagem. Ele até tem um sistema de alerta sonoro, mas é bem incomodo a noite. Outro contra é os recursos da câmera, possui poucas opções de configurações e embaça bastante em gravações de vídeos. Ah e a tela não possui Gorilla Glass.
Prós: flash nas cameras, bateria removível, sistema android atualizado, tela de amoled.
Contra: Falta led indicador, opções da câmera, duração bateria, tela não possui Gorilla Glass."
Smartphone Samsung Galaxy J5 SM-J500M;"celular-e-smartphonesamsung
";valdir;17/09/2015;Recomendo este produto;Simplesmente incrivel !;Muito bom um aparelho extraordinario,fantastico,incrivel.Deixa o Motog no chinelo.
Smartphone Samsung Galaxy S7 Edge SM-G935 128GB;"celular-e-smartphonesamsung
";e-bit;15/04/2017;Recomendo este produto;Um bom celular;Gostei! Um bom celular!
Smartphone Samsung Galaxy S7 Edge SM-G935 128GB;"celular-e-smartphonesamsung
";e-bit;03/04/2017;Recomendo este produto;Boa;Bom
Smartphone Samsung Galaxy S7 Edge SM-G935 128GB;"celular-e-smartphonesamsung
";e-bit;04/06/2017;Recomendo este produto;.;.
Smartphone Samsung Galaxy S7 Edge SM-G935 128GB;"celular-e-smartphonesamsung
";e-bit;09/04/2017;Recomendo este produto;Bom custo beneficio;Até o momento ótimo produto. Precisa de uns dias para adaptar aos botões laterais, pois estao invertidos em relação ao asus zen 5, também percebi uma pequena perda de sensibilidade na tela ao deslizar o dedo.
Smartphone Samsung Galaxy S7 Edge SM-G935 128GB;"celular-e-smartphonesamsung
";e-bit;29/05/2017;Recomendo este produto;Um dos melhores Smartphones do mercado;Produto excelente. único ponto negativo é a fragilidade da tela.
Smartphone Samsung Galaxy A5 SM-A510M;"celular-e-smartphonesamsung
";Raphael Fernandes;13/07/2016;Recomendo este produto;Processador um pouco lento;"Não costumo trocar de celular sempre, só quando quebra. Gosto de celulares rápidos que não travem, tenham todas funções que preciso e rodem qualquer app. Antes tinha um Sony Z3 compact, era excelente até parar o touch sozinho com 1 ano de uso e pelo descaso da Sony nunca mais volto para a marca. Depois resolvi comprar este A5 2016, que paguei R$1390,00. Pelo preço e o nível dos concorrentes vejo 2 pontos negativos: A atualização do Android que sempre demora mais para receber nos aparelhos da Samsung (porém não afeta nada o uso) e o único ponto contra que pesa é a velocidade do processador, que acho muito abaixo do meu celular anterior. Talvez quem tenha celulares medianos não perceba, mas transições de telas, teclado e abertura de aplicativos são realizados com pequenos lags do qual eu não estou acostumado. Tirando isso: a câmera é boa, não excelente, mas tbm não passa vergonha. A qualidade da construção é excelente e parece por um S6 ou S7 tranquilamente, a qualidade da tela e cores da samsung é imbatível excelente; o reconhecimento de digital se bem configurado é imediato e vc não vive sem depois; a bateria dura um dia todo com folga e sobra um pouco para o dia seguinte. Resumo: pelo preço que paguei estou satisfeito, ele só tem 1 defeito que é o processador um pouco lento. Acredito que se colocassem um processador top nele não teria porque ter o S6 e o S7 pois o restante do aparelho é muito bom, então talvez por isso a Samsung deixe o A5 2016 com esta fallha."
Smartphone Samsung Galaxy A5 SM-A510M;"celular-e-smartphonesamsung
";e-bit;15/05/2016;Recomendo este produto;bonito e eficiente;Achei  o aparelho muito bonito, leve, fácil de usar, com uma boa câmera e rápido. Recomendo o produto, mas com uma ressalva: o recebimento de qualquer tipo de mensagem é avisado apenas por sinal sonoro ou vibração. Para saber que tipo de mensagem foi recebida e de quem, é preciso desbloquear a tela. Mas acredito que é só uma questão de se acostumar.
Smartphone Samsung Galaxy A5 SM-A510M;"celular-e-smartphonesamsung
";CARLOS;27/07/2016;Recomendo este produto;NOTA 7 EM UMA ESCALA DE 0 A 10;"Assim que lançaram a linha Galaxy A, resolvi comprar o A5 e não me arrependi. Não é pequeno nem grande, digitar nele é bem confortável. Não dá para mexer somente com 01 mão porém, ele tem uma fução que vc diminui o tamanho do display, não ajuda muito mas, existe esta função. Se você procura uma câmera de qualidade, PODE COMPRAR SEM MEDO. A frontal então, para selfie não tem igual. Seu rosto fica parecendo pele de bebê. Já a câmera de trás, apesar de 13MP, não tem a mesma qualidade da frontal (minha opinião).
Não sou exigente a ponto de querer um iphone com preço de android mas este está de parabéns. Ele trava sim porém, BEM menos que os que já possuí. Fácil utilização; vem cheio desses aplicativos inúteis que a SAMSUNG manda de fábrica. A bateria dura um dia inteiro com vc mexendo moderadamente. Se gostar de jogos e vídeos, 06 horas de utilização NO MÁXIMO e já pode conectar à tomada.
Para vc ter uma idéia melhor, meu perfil é de uma pessoa que utiliza redes sociais (snap, instagran, face e wpp)... valorizo uma foto com qualidade, não tenho paciência com aquelas ""travadas"" que o android dá...(este trava, mas bém menos)... tenho muitos videos, fotos e músicas no meu cartão de memória... (não fique sem se não trava que é uma beleza); já deixei cair várias vezes, utilizo capinha mas nada aconteceu; NÃO tenho coragem de pagar R$3.500,00 em um IPHONE...
Sempre procuro opiniões para comprar e resolvi deixar a minha afinal, melhor perguntar quem tem do que o vendedor....
Vale a pena"
Smartphone Samsung Galaxy A5 SM-A510M;"celular-e-smartphonesamsung
";e-bit;21/03/2016;Recomendo este produto;Modernidade;Muito bom, excelente processador, rápido e eficiente, tem um display com uma resolução que ainda não tinha visto.
Smartphone Samsung Galaxy A5 SM-A510M;"celular-e-smartphonesamsung
";Gilton Moura;23/06/2016;Recomendo este produto;Ótimo aparelho. Porém nem todos conectam no 4G da Tim na Banda28 700mhz;"Excelente produto
- Câmeras com ótima qualidade 13 megapixels no fundo e 5 na câmera frontal
- Velocidade ótima sem travamentos e transições e abertura de app muito rápida
- Apesar de ser 4G os aparelhos fabricados antes de 2016 não funcionam no 4G da Tim e de outras operadoras que usam a banda 28 na frequência de 700MHz. Por isto preste atenção, em alguns anúncios já trazem a descrição de ""A5 2016"", neste caso funciona o 4G de todas as operadoras."
Smartphone Samsung Galaxy A5 SM-A510M;"celular-e-smartphonesamsung
";Fernanda;09/05/2016;Recomendo este produto;ótimo produto;Um pouco caro, mas perto dos concorrentes é ótimo. Só a câmera que achei um pouco lenta para um smartphone do porte dele.
Smartphone Samsung Galaxy A5 SM-A510M;"celular-e-smartphonesamsung
";e-bit;28/03/2016;Recomendo este produto;Produto de Otima Qualidade;Atendeu minhas necessidades, pratico eficiente
Smartphone Samsung Galaxy A5 SM-A510M;"celular-e-smartphonesamsung
";e-bit;13/03/2016;Recomendo este produto;Aparelho bonito , mas de desempenho mediano;O celular é bom , mas o hardware poderia ser melhor.
Smartphone Samsung Galaxy A5 SM-A510M;"celular-e-smartphonesamsung
";e-bit;15/05/2016;Recomendo este produto;ótimo;o aparelho é ótimo,o que deixa a desejar é que na verdade ele não é dual chip,se vc precisar usar cartão sd,pois o cartão sd vai inserido no gabinete do chip,se você gosta de dual chip não vale a pena  este aparelho,senão vc nao pode usar o cartão sd,e pra abrir o compartimento do chip acompanha uma chavezinha,vc pode usar um clip ou agulha senão vc nao consegue usar e ele usa chip nano aquele pequeninho ,só isso de contra pois o aparelho é maravilhoso.
Smartphone Samsung Galaxy A5 SM-A510M;"celular-e-smartphonesamsung
";e-bit;09/05/2016;Recomendo este produto;Gostaria que ele tivesse TV Digital;Muito eficiente rapido para usar melhor marca do Brasil
Smartphone Samsung Galaxy A5 SM-A510M;"celular-e-smartphonesamsung
";e-bit;04/04/2016;Recomendo este produto;Vale o Custo Benefício;Cumpre o que promete
Smartphone Samsung Galaxy A5 SM-A510M;"celular-e-smartphonesamsung
";;27/05/2016;Recomendo este produto;aparelho muito bom porem nao tem espelhamento de tela pra TV;"O aparelho é muito bom porem fiquei extremamente insatisfeito com a retirada da opção Screen Mirroring; comprei uma smart TV samsung e sempre utilizo o screen mirroring para reproducao de musicas por aplicativos (spotfy, soundcloud, youtube etc...) pelo antigo Samsung. Com este é apenas possivel reproduzir fotos, videos e musicas que estao no telefone e nao nos app´s. 

Liguei na samsung pedindo suporte ou ate mesmo uma atualização porem sem resposta. A funcionalidade foi retirada, que vem de contramao a tecnologia. Teria opcao de comprar um cabo hdmi, que nao tem disponivel nas lojas. Isso inviabilizou o aparelho na funcionalidade que eu utilizo. 

Quanto a bateria, design, qualidade do aparelho não tem o que falar. Excelente."
Smartphone Samsung Galaxy A5 SM-A510M;"celular-e-smartphonesamsung
";e-bit;24/04/2016;Recomendo este produto;sonho dos sonhos;"incrivel, perfeito, o ""Diferentão""... o samsung com otimo custo e beneficio e design perfeito.. a samsung soube desenhar perfeitamente um produto que supre todas as características fundamentais que um aparelho necessita."
Smartphone Samsung Galaxy J7 SM-J700M;"celular-e-smartphonesamsung
";;21/10/2015;Recomendo este produto;MELHOR SMARTPHONE DUAL CHIP;"Usei este telefone por mais de 12 horas e ao chegar em casa a surpresa de ter mais de 30% da carga cheia.
Produto incrível!!!"
Smartphone Samsung Galaxy J7 SM-J700M;"celular-e-smartphonesamsung
";Rodolfo Paoni;24/09/2015;Recomendo este produto;Excelente produto;"Comprei o J7 e não me arrependi. É bonito, tela grande, processador rápido, bastante memória. 
Condigo rodar meus jogos normalmente, sem problemas.
Integro meu Youtube e Netflix com a SmarTV da minha casa, sem problemas.
Não tem função de screen mirroring nativa, mas com o aplicativo SamsungTVMedia eu jogo imagens, músicas e vídeos 
direto para a TV, sem maiores problemas.
Sem contar que a bateria dele dura muitoooo!
Estou muito satisfeito."
Smartphone Samsung Galaxy J7 SM-J700M;"celular-e-smartphonesamsung
";Venancio;15/09/2015;Recomendo este produto;É um produto otimo e tem otima fucionalidade!;Bastante rapido e taz tud o que nessecitamos.
Smartphone Samsung Galaxy J7 SM-J700M;"celular-e-smartphonesamsung
";MAURECY RODRIGUES ALVES;15/12/2015;Recomendo este produto;Produto Super Maravilhoso;O celular chegou na sexta feira, carreguei o mesmo e começei a disfrutar do aparelho baixei jogos, usei facebook, fiz muitas ligações, enviei bastante mensagem para namorada e fucei tudo que tinha de fuçar e lhes falo com toda a certeza que o produto é simplismente MARAVILHOSO! Pesquisei muito, antes de comprá-lo. Hoje segunda feira à exatamente meia noite e dez (00:10)Hs o celular está com 6% de carga da bateria o que é extraordinário, desde segunda feira que não o carrego. Produto com uma tela surpreendente, processador super rápido que não trava, super fino e bonito. Comprem pessoal, jamais irão se arrepender. Abraço e fiquem com Deus...
Smartphone Samsung Galaxy J3 SM-J320M;"celular-e-smartphonesamsung
";e-bit;06/06/2016;Recomendo este produto;Ótimo produto;Estou com o produto há pouco tempo, entretanto, até o momento tudo no  mesmo me agradou
Smartphone Samsung Galaxy J3 SM-J320M;"celular-e-smartphonesamsung
";e-bit;30/05/2016;Recomendo este produto;Dentro do esperado pelo valor;Produto corresponde pra quem não pretende exigir muito dele. Jogos pesados, muita memória com rapidez de funcionamento ...
Smartphone Samsung Galaxy J3 SM-J320M;"celular-e-smartphonesamsung
";e-bit;20/06/2016;Recomendo este produto;Satisfeito;Para o porte do aparelho, é excelente. Fácil, bonito, bons recursos e tela de tamanho bom.
Smartphone Samsung Galaxy J3 SM-J320M;"celular-e-smartphonesamsung
";e-bit;28/05/2016;Recomendo este produto;Bom e barato;Facílimo de usar e tem um visor colorido vibrante. Adorei.
Smartphone Motorola Moto G 5 XT1672;"celular-e-smartphonedual-chip
";e-bit;30/03/2017;Recomendo este produto;muito bom;celular muito bom e rápido. a bateria dura bastante com uso considerável. o android é bem limpo. muito bom. só a câmera que, apesar de ter 13 MP, decepciona um pouco na qualidade e definição das imagens.
Smartphone Motorola Moto G 5 XT1672;"celular-e-smartphonedual-chip
";Thiago Vicente Batista;30/03/2017;Recomendo este produto;Incrível! O melhor custo benefício!;Incrível! Como comprei receioso por ter menos de um mês de lançamento estou surpreendido com o MotoG5! Pra quem gosta de *** redes sociais, jogar, acesso a internet/email, detalhe tudo simultâneo, sem perder desempenho, neste custo benefício não tem outro igual! Câmeras excelentes frontal q tem a opção de flash embutido (as selfies noturnas ficam ótimas) e a traseira q faz excelentes vídeos. Para meu perfil de uso, só faltou poder configurar o volume das notificações sem alterar o volume do toque de chamada, o que não é possível. Lenovo está de parabéns por lançar aparelhos na categoria Prime a custos abaixo dos R$.1000,00.
Smartphone Motorola Moto G 5 XT1672;"celular-e-smartphonedual-chip
";e-bit;27/03/2017;Recomendo este produto;Satisfação plena.;Estou com o aparelho há pouco menos de 20 dias mas, estou muito satisfeito. Espero que dure muito e tenha um ótimo custo-benefício.
Smartphone Motorola Moto G 5 XT1672;"celular-e-smartphonedual-chip
";LuskaGarcia;23/03/2017;Recomendo este produto;Produto Otimo e de Bom custo beneficio;O celular tem um otimo custo beneficio,ao olharmos em foto e video para que seu design e feio mais ao olharmos de perto ele e lindo,a duraçao da bateria vai ate o fim do dia,claro que em usos nao extremos,nao possui engasmos,tem bastante bateria,o unico ruim e a camera frontal mais nao aquelas coisas mais nao e tao boa quanto parece
Smartphone Motorola Moto G 5 XT1672;"celular-e-smartphonedual-chip
";marcelo;30/03/2017;Recomendo este produto;Excelente aparelho!;Fiz um upgrade de um celular aparelho com menos processamento e memória e estou muito feliz com o novo aparelho. Muito boa a função de desbloquear e bloquear a tela com o sensor de impressão digital
Smartphone LG K10 Novo M250;"celular-e-smartphonedual-chip
";e-bit;04/08/2017;Recomendo este produto;LG k10;Celular com boa configuração e preço. Atendeu a expectativa.
Smartphone Samsung Galaxy J7 Prime SM-G610M;"celular-e-smartphonedual-chip
";Tatiane;02/01/2017;Recomendo este produto;Aparelho bom mas a qualidade da tela TFT FULL HD deixa a desejar;"Bom comprei esse aparelho na cor branca na Onofre. O design é  bonito e o tamanho  é  igual ao Iphone PLUS 6 /7 ou comparando com o Samsung Galaxy s6/s7  edge, ou seja, é  um pouco grande mas para quem gosta de ver vídeo, jogar é  um bom tamanho.
A qualidade  tanto da camera traseira quanto a frontal são  excelentes, quanto  a durabilidade da bateria também  é  boa. Em relação ao processador, identificador digital, memória  interna e expansão de memória  dispensa comentários  são  diferencias  nessa linha intremediaria.
O que me incomodou, que me deixou decepcionada é  a qualidade da tela que é  TFT FULL HD. Bom até  agora não  entendi  o porque  que a Samsung fez um celular desse com essa tela, sendo que hoje em dia a maioria das telas deles são  Amoled ou Super Amoled. Basicamente  a diferença  está  no brilho, ou seja, a capacidade em deixar as cores mais vivas, pois a tela TFT FULL HD faz com que a foto fique com menos brilho do que ficaria em uma tela Amoled que por sua vez, tem menos brilho do que uma Super Amoled.
Então  se você  gosta de cores mais realçadas do que originalmente são  esse celular não  será  um bom investimento. Agora se isso não  for primordial enquanto você está  avaliando qual celular comprar vá  em frente porque tirando isso está  parecendo um bom celular"
Smartphone Motorola Moto G 5 Plus XT1683;"celular-e-smartphonedual-chip
";e-bit;05/04/2017;Recomendo este produto;Mais um aparelho maravilhoso!;Este é o meu terceiro aparelho da Motorola e não compraria um de outra marca!
Smartphone Motorola Moto G 5 Plus XT1683;"celular-e-smartphonedual-chip
";e-bit;07/04/2017;Recomendo este produto;Mais um aparelho de qualidade!;Meu terceiro smartphone da linha e mais um produto de qualidade!
Smartphone Samsung Galaxy J2 Prime SM-G532M;"celular-e-smartphonedual-chip
";e-bit;19/03/2017;Recomendo este produto;Em geral o produto é bom;Acabei de comprar
Smartphone Samsung Galaxy J2 Prime SM-G532M;"celular-e-smartphonedual-chip
";e-bit;28/04/2017;Recomendo este produto;Produto excelente!;Quando eu possuía um celular de outra marca, eu me maravilhei demais. Imagina com a excelente tecnologia desse sensacional Celular Smartphone Samsung Galaxy J2 Prime SM-G532M. Seria um sonho para mim, ter um desses para o meu uso tanto para minha diversão, nos estudos e principalmente para o meu trabalho. Aparelho leve, rápido no manuseio de aplicativos, ótimo Custo beneficio, aparelho bom, fico na espera de um dia ter um ótimo aparelho que supere as minhas expectativas. Aconselho e indico à todos que adquiram um celular muito útil e leve como esse. Atenciosamente: Júlio César Carneiro de Oliveira.
